what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1380240012937
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380240013102
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1380240014026
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380240014823
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1380240015010
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380240027582
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1380240058476
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380240062131
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1380240070905
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1380240070972
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1380240070973
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1380240070974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380240071095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380240084240
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1380240088776
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380240092288
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380240121618
executed,command,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.commands.runCodanCommand",1380240125121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380240125400
error,log,,,"Internal Error",1380240126535
error,log,,,"Internal Error",1380240126543
error,log,,,"Internal Error",1380240126550
error,log,,,"Internal Error",1380240126557
error,log,,,"Internal Error",1380240126566
error,log,,,"Internal Error",1380240126574
error,log,,,"Internal Error",1380240126583
error,log,,,"Internal Error",1380240126592
error,log,,,"Internal Error",1380240126600
error,log,,,"Internal Error",1380240126607
error,log,,,"Internal Error",1380240126749
error,log,,,"Internal Error",1380240126757
error,log,,,"Internal Error",1380240126764
error,log,,,"Internal Error",1380240126771
error,log,,,"Internal Error",1380240126779
error,log,,,"Internal Error",1380240126786
error,log,,,"Internal Error",1380240126794
error,log,,,"Internal Error",1380240126803
error,log,,,"Internal Error",1380240126811
error,log,,,"Internal Error",1380240126818
